会社名
株式会社エス・イー・シー・ハイテック
株式会社三井E&S DU
株式会社マーブル
平田機工株式会社
日本金銭機械株式会社
株式会社エリジオン
新明和工業株式会社
株式会社早川金属工業研究所 
松下電器産業株式会社 
株式会社ネクスト
株式会社Sky
